hs4,product_name_short,product_name_short_es,translation_status,translation_source,notes
0101,Horses,Caballos,pending_manual_validation,rule_based,
0102,Bovine,Bovinos,pending_manual_validation,rule_based,
0103,Swine,Porcinos,pending_manual_validation,rule_based,
0104,Sheep,Ovinos,pending_manual_validation,rule_based,
0105,Fowl,Aves de corral,pending_manual_validation,rule_based,
0106,Other live animals,Otros animales vivos,pending_manual_validation,rule_based,
0201,Beef,Carne bovina,pending_manual_validation,rule_based,
0202,Beef (frozen),Carne bovina congelada,pending_manual_validation,rule_based,
0203,Pork,Carne porcina,pending_manual_validation,rule_based,
0204,Lamb,Carne ovina,pending_manual_validation,rule_based,
0205,Horse meat,Carne de caballo,pending_manual_validation,rule_based,
0206,Edible offal,Despojos comestibles,pending_manual_validation,rule_based,
0207,Poultry,Carne de ave,pending_manual_validation,rule_based,
0208,Other meat,Otras carnes,pending_manual_validation,rule_based,
0209,Pig and poultry fat,Grasa de cerdo y de ave,pending_manual_validation,rule_based,
0210,Preserved meat,Carne conservada,pending_manual_validation,rule_based,
0301,Live Fish,Peces vivos,pending_manual_validation,rule_based,
0302,"Fish, excluding fillets","Pescado, excluidos los filetes",pending_manual_validation,rule_based,
0303,"Frozen fish, excluding fillets","Pescado congelado, excluidos los filetes",pending_manual_validation,rule_based,
0304,Fish fillets,Filetes de pescado,pending_manual_validation,rule_based,
0305,Preserved fish,Pescado conservado,pending_manual_validation,rule_based,
0306,Crustaceans,Crustáceos,pending_manual_validation,rule_based,
0307,Molluscs,Moluscos,pending_manual_validation,rule_based,
0401,Milk,Leche,pending_manual_validation,rule_based,
0402,"Milk, concentrated",Leche concentrada,pending_manual_validation,rule_based,
0403,Fermented milk products,Productos lácteos fermentados,pending_manual_validation,rule_based,
0404,Whey,Suero de leche,pending_manual_validation,rule_based,
0405,Butter,Mantequilla,pending_manual_validation,rule_based,
0406,Cheese,Queso,pending_manual_validation,rule_based,
0407,"Eggs, in shell",Huevos con cáscara,pending_manual_validation,rule_based,
