year,hs4,importer_iso,accessible_market_imports
2024,0101,BOL,24150.0
2024,0101,COL,2273600.0
2024,0101,CRI,734497.0
2024,0101,DOM,488142.0
2024,0101,GTM,789261.0
2024,0101,HND,475403.0
2024,0101,HTI,154568.0
2024,0101,JAM,126900.0
2024,0101,MEX,68491171.0
2024,0101,NIC,400899.0
2024,0101,PAN,888873.0
2024,0101,PER,1935749.0
2024,0101,SLV,230312.0
2024,0101,TTO,46529.0
2024,0101,VEN,691484.0
2024,0102,BOL,469414.0
2024,0102,CRI,251201.0
2024,0102,DOM,169811.0
2024,0102,GTM,129146.0
2024,0102,HND,4229517.0
2024,0102,MEX,35051698.0
2024,0102,NIC,549895.0
2024,0102,PAN,70512.0
2024,0102,PER,904126.0
2024,0102,SLV,121597.0
2024,0102,VEN,780925.0
2024,0104,BOL,4583.0
2024,0104,PAN,229957.0
2024,0104,PER,147756.0
2024,0105,COL,19094296.0
2024,0105,CRI,9622706.0
2024,0105,NIC,14337002.0
2024,0105,PAN,10741858.0
2024,0105,PER,21660715.0
2024,0106,ARG,247699.0
2024,0106,BOL,75555.0
2024,0106,CHL,1014611.0
2024,0106,COL,413667.0
2024,0106,CRI,1034112.0
2024,0106,CUB,2452.0
2024,0106,DOM,193083.0
2024,0106,GTM,3893481.0
2024,0106,HND,756893.0
2024,0106,JAM,5857.0
2024,0106,MEX,14600577.0
2024,0106,NIC,108633.0
2024,0106,PAN,267779.0
2024,0106,PER,184345.0
2024,0106,PRY,2009.0
2024,0106,SLV,472919.0
2024,0106,TTO,83071.0
2024,0106,VEN,404900.0
2024,0201,CHL,1285997323.0
2024,0201,COL,11730716.0
2024,0201,CRI,28524809.0
2024,0201,CUB,742230.0
2024,0201,DOM,13771114.0
2024,0201,GTM,34586210.0
2024,0201,HND,6669480.0
2024,0201,HTI,168732.0
2024,0201,JAM,2055626.0
2024,0201,MEX,1309941854.0
2024,0201,NIC,146894.0
2024,0201,PAN,2163385.0
2024,0201,PER,17989367.0
2024,0201,PRY,15306236.0
2024,0201,SLV,150029608.0
2024,0201,TTO,496935.0
2024,0201,VEN,56860.0
2024,0202,AGO,44708287.0
2024,0202,ALB,9842732.0
2024,0202,ARG,7553290.0
2024,0202,AUT,81407645.0
2024,0202,BEL,86622363.0
2024,0202,BEN,24751.0
2024,0202,BFA,38810.0
2024,0202,BIH,12448182.0
2024,0202,BOL,899387.0
2024,0202,BRA,167610607.0
2024,0202,CAN,463086691.0
2024,0202,CHE,15631713.0
2024,0202,CHL,179340389.0
2024,0202,CIV,15832556.0
2024,0202,CMR,213549.0
2024,0202,COD,14570033.0
2024,0202,COG,13467343.0
2024,0202,COL,36672842.0
2024,0202,CRI,59338737.0
2024,0202,CUB,15810720.0
2024,0202,CZE,28630764.0
2024,0202,DEU,384031784.0
2024,0202,DNK,76950217.0
2024,0202,DOM,115030782.0
2024,0202,DZA,13120276.0
2024,0202,ESP,193222478.0
2024,0202,EST,18222867.0
2024,0202,FIN,42196575.0
2024,0202,FRA,434757501.0
2024,0202,GAB,26423342.0
2024,0202,GBR,456085850.0
2024,0202,GHA,32190450.0
2024,0202,GIN,1815484.0
2024,0202,GNQ,3372749.0
2024,0202,GTM,121061524.0
2024,0202,HND,13954249.0
2024,0202,HRV,56042043.0
2024,0202,HTI,252918.0
2024,0202,HUN,51121877.0
2024,0202,IRL,59541053.0
2024,0202,ITA,333223765.0
2024,0202,JAM,41128598.0
2024,0202,LBR,4075190.0
2024,0202,LBY,94437303.0
2024,0202,LVA,19102405.0
2024,0202,MAR,33956580.0
2024,0202,MEX,311123494.0
2024,0202,MKD,19356940.0
2024,0202,MLI,21983.0
2024,0202,MRT,742225.0
2024,0202,NAM,206956.0
2024,0202,NER,222223.0
2024,0202,NGA,1580082.0
2024,0202,NIC,764468.0
2024,0202,NLD,316191783.0
2024,0202,NOR,32651175.0
2024,0202,PAN,30318324.0
2024,0202,PER,31172636.0
2024,0202,POL,38009634.0
2024,0202,PRT,177955195.0
2024,0202,PRY,13024960.0
2024,0202,SEN,58980759.0
2024,0202,SLV,83086649.0
2024,0202,SRB,28929856.0
2024,0202,SVK,12959649.0
2024,0202,SVN,24568799.0
2024,0202,SWE,175838869.0
2024,0202,TCD,229651.0
2024,0202,TGO,21897.0
2024,0202,TTO,29541429.0
2024,0202,TUN,10271798.0
2024,0202,URY,15905707.0
2024,0202,USA,4959721449.0
2024,0202,VEN,587410.0
2024,0203,ARG,58786006.0
2024,0203,BOL,109118.0
2024,0203,BRA,85106.0
2024,0203,CAN,515610254.0
2024,0203,CHL,321729120.0
2024,0203,COL,453925810.0
2024,0203,CRI,95621362.0
2024,0203,CUB,59775780.0
2024,0203,DOM,300414238.0
2024,0203,GTM,87913646.0
2024,0203,HND,151038205.0
2024,0203,HTI,6359780.0
2024,0203,JAM,6835223.0
2024,0203,MEX,3182162460.0
2024,0203,NIC,57132012.0
2024,0203,PAN,33748865.0
2024,0203,PER,42367132.0
2024,0203,PRY,2141769.0
2024,0203,SLV,55464175.0
2024,0203,TTO,23238180.0
2024,0203,URY,123731067.0
2024,0203,USA,1492154100.0
2024,0203,VEN,11470081.0
2024,0204,ARG,101013.0
2024,0204,BFA,589457.0
2024,0204,BOL,209313.0
2024,0204,BRA,30233538.0
2024,0204,CAN,207810823.0
2024,0204,CHL,599877.0
2024,0204,CIV,2766901.0
2024,0204,COL,107000.0
2024,0204,CRI,197026.0
2024,0204,CUB,1025929.0
2024,0204,DOM,6086568.0
2024,0204,ESP,74947094.0
2024,0204,GHA,5444795.0
2024,0204,GIN,1557818.0
2024,0204,GTM,406538.0
2024,0204,HND,218958.0
2024,0204,HTI,6808.0
2024,0204,JAM,15586957.0
2024,0204,LBR,822969.0
2024,0204,MAR,1495461.0
2024,0204,MEX,26020161.0
2024,0204,MLI,978996.0
2024,0204,MRT,994017.0
2024,0204,NIC,42186.0
2024,0204,PAN,1800120.0
2024,0204,PER,93921.0
2024,0204,PRT,75546169.0
2024,0204,PRY,174516.0
2024,0204,SEN,3461979.0
2024,0204,SLV,73706.0
2024,0204,TGO,27583.0
2024,0204,TTO,19628390.0
2024,0204,URY,4720.0
2024,0204,USA,1533424112.0
2024,0204,VEN,19803.0
2024,0205,ARG,5082.0
2024,0205,BRA,21156.0
2024,0205,MEX,24459.0
2024,0205,PAN,20.0
2024,0205,USA,2050033.0
2024,0206,ARG,260541.0
2024,0206,BOL,6100.0
2024,0206,BRA,3688309.0
2024,0206,CAN,87194591.0
2024,0206,CHL,20668668.0
2024,0206,COL,18732582.0
2024,0206,CRI,4364410.0
2024,0206,CUB,6383231.0
2024,0206,DOM,25456601.0
2024,0206,GIN,6223503.0
2024,0206,GTM,4397703.0
2024,0206,HND,5797082.0
2024,0206,HTI,7863582.0
2024,0206,JAM,19759528.0
2024,0206,LBR,20766108.0
2024,0206,MEX,580862418.0
2024,0206,MLI,38.0
2024,0206,MRT,2665.0
2024,0206,NIC,2821865.0
2024,0206,PAN,9126556.0
2024,0206,PER,38654851.0
2024,0206,PRY,4131667.0
2024,0206,SEN,8122851.0
2024,0206,SLV,5719109.0
2024,0206,TTO,5577466.0
2024,0206,URY,4585458.0
2024,0206,USA,588070118.0
2024,0206,VEN,172529.0
2024,0207,ARG,5764075.0
2024,0207,BOL,4390635.0
2024,0207,BRA,21654605.0
2024,0207,CAN,470398121.0
2024,0207,CHL,290020145.0
2024,0207,COL,73203864.0
2024,0207,CRI,42787865.0
2024,0207,CUB,369290631.0
2024,0207,DOM,141517884.0
2024,0207,GTM,210453347.0
2024,0207,HND,22393234.0
2024,0207,HTI,93224274.0
2024,0207,JAM,21745968.0
2024,0207,MEX,1582971468.0
2024,0207,NIC,21819086.0
2024,0207,PAN,26226598.0
2024,0207,PER,171038601.0
2024,0207,PRY,8794.0
2024,0207,SLV,40344037.0
2024,0207,TTO,27246967.0
2024,0207,URY,9460391.0
2024,0207,USA,341995317.0
2024,0207,VEN,1471446.0
2024,0208,ARG,16950.0
2024,0208,BRA,5514.0
2024,0208,CHL,530382.0
2024,0208,COL,74567.0
2024,0208,CRI,502858.0
2024,0208,CUB,22836.0
2024,0208,DOM,981981.0
2024,0208,GTM,4879.0
2024,0208,HND,210022.0
2024,0208,HTI,49.0
2024,0208,JAM,25574.0
2024,0208,MEX,379395.0
2024,0208,NIC,33317.0
2024,0208,PAN,69742.0
2024,0208,PER,21073.0
2024,0208,SLV,40000.0
2024,0208,TTO,98378.0
2024,0208,VEN,23104.0
2024,0209,ARG,474534.0
2024,0209,BOL,111384.0
2024,0209,BRA,535643.0
2024,0209,CAN,765757.0
2024,0209,CHL,3882115.0
2024,0209,COL,7020926.0
2024,0209,CRI,1794642.0
2024,0209,CUB,68040.0
2024,0209,DOM,6663984.0
2024,0209,GTM,4101450.0
2024,0209,HND,2048149.0
2024,0209,JAM,465967.0
2024,0209,MEX,32076604.0
2024,0209,NIC,1333497.0
2024,0209,PAN,4924607.0
2024,0209,PER,2950447.0
2024,0209,SLV,1496827.0
2024,0209,TTO,20701.0
2024,0209,URY,7907452.0
2024,0209,USA,15947472.0
2024,0210,BOL,4289.0
2024,0210,COL,13320122.0
