tema,importer_iso,accessible_market_imports
Alimentos y agroindustria,ARG,199475686.0
Alimentos y agroindustria,BOL,244345718.0
Alimentos y agroindustria,BRA,1393712232.0
Alimentos y agroindustria,CAN,2564303563.0
Alimentos y agroindustria,CHL,810644546.0
Alimentos y agroindustria,COL,931509233.0
Alimentos y agroindustria,CRI,553117349.0
Alimentos y agroindustria,CUB,116990177.0
Alimentos y agroindustria,DOM,1023668530.0
Alimentos y agroindustria,GIN,33098.0
Alimentos y agroindustria,GTM,1011620693.0
Alimentos y agroindustria,HND,542573154.0
Alimentos y agroindustria,HTI,60100801.0
Alimentos y agroindustria,JAM,201523880.0
Alimentos y agroindustria,MEX,3221016540.0
Alimentos y agroindustria,MRT,71983.0
Alimentos y agroindustria,NIC,419222944.0
Alimentos y agroindustria,PAN,486930077.0
Alimentos y agroindustria,PER,732984494.0
Alimentos y agroindustria,PRY,370270108.0
Alimentos y agroindustria,SEN,91762.0
Alimentos y agroindustria,SLV,465092652.0
Alimentos y agroindustria,TTO,202951904.0
Alimentos y agroindustria,URY,128304248.0
Alimentos y agroindustria,USA,27505156502.0
Alimentos y agroindustria,VEN,335641447.0
Construcción y materiales,ARG,230357988.0
Construcción y materiales,BOL,158180287.0
Construcción y materiales,BRA,1600901270.0
Construcción y materiales,CAN,657036269.0
Construcción y materiales,CHL,860457033.0
Construcción y materiales,COL,593666305.0
Construcción y materiales,CRI,300012280.0
Construcción y materiales,CUB,67859461.0
Construcción y materiales,DOM,537951942.0
Construcción y materiales,GTM,459629188.0
Construcción y materiales,HND,408495333.0
Construcción y materiales,HTI,22297697.0
Construcción y materiales,JAM,95743220.0
Construcción y materiales,MEX,4924394894.0
Construcción y materiales,NIC,204853429.0
Construcción y materiales,PAN,267884947.0
Construcción y materiales,PER,828722812.0
Construcción y materiales,PRY,154826125.0
Construcción y materiales,SLV,339683118.0
Construcción y materiales,TTO,138889102.0
Construcción y materiales,URY,63368331.0
Construcción y materiales,USA,4630704995.0
Construcción y materiales,VEN,152496856.0
"Forestal, madera y papel",ARG,11832562.0
"Forestal, madera y papel",BOL,47174108.0
"Forestal, madera y papel",BRA,39880751.0
"Forestal, madera y papel",CAN,424572115.0
"Forestal, madera y papel",CHL,43812245.0
"Forestal, madera y papel",COL,158164744.0
"Forestal, madera y papel",CRI,475072971.0
"Forestal, madera y papel",CUB,6425290.0
"Forestal, madera y papel",DOM,272845552.0
"Forestal, madera y papel",GTM,345440295.0
"Forestal, madera y papel",HND,221299595.0
"Forestal, madera y papel",HTI,42361117.0
"Forestal, madera y papel",JAM,81781321.0
"Forestal, madera y papel",MEX,837418295.0
"Forestal, madera y papel",NIC,159839294.0
"Forestal, madera y papel",PAN,124166032.0
"Forestal, madera y papel",PER,257513885.0
"Forestal, madera y papel",PRY,4882113.0
"Forestal, madera y papel",SLV,190086062.0
"Forestal, madera y papel",TTO,66933992.0
"Forestal, madera y papel",URY,11698901.0
"Forestal, madera y papel",USA,1183286922.0
"Forestal, madera y papel",VEN,106172033.0
Maquinaria y equipo eléctrico,ARG,1530566131.0
Maquinaria y equipo eléctrico,BOL,250399318.0
Maquinaria y equipo eléctrico,BRA,4925148962.0
Maquinaria y equipo eléctrico,CAN,4157255623.0
